time,value
2025-05-22T08:04:20.265272817Z,810
2025-05-22T08:04:31.041282726Z,807
2025-05-22T08:04:41.674333283Z,807
2025-05-22T08:04:52.293726279Z,822
2025-05-22T08:05:03.07383192Z,825
2025-05-22T08:05:13.698245627Z,826
2025-05-22T08:05:24.325541287Z,825
2025-05-22T08:05:35.101123589Z,822
2025-05-22T08:05:45.727567002Z,816
2025-05-22T08:05:56.355968096Z,815
2025-05-22T08:06:07.247343372Z,811
2025-05-22T08:06:17.87512346Z,805
2025-05-22T08:06:28.502763588Z,805
2025-05-22T08:06:39.280918178Z,783
2025-05-22T08:06:49.907634857Z,800
2025-05-22T08:07:00.535123965Z,798
2025-05-22T08:07:11.313322972Z,796
2025-05-22T08:07:21.941160116Z,795
2025-05-22T08:07:32.566931476Z,791
2025-05-22T08:07:43.350820004Z,801
2025-05-22T08:07:53.975740002Z,804
2025-05-22T08:08:04.610058906Z,805
2025-05-22T08:08:15.389392601Z,815
2025-05-22T08:08:26.014856393Z,806
2025-05-22T08:08:36.642388492Z,802
2025-05-22T08:08:47.420967935Z,810
2025-05-22T08:08:58.048499262Z,810
2025-05-22T08:09:08.677172164Z,806
2025-05-22T08:09:19.457015223Z,801
2025-05-22T08:09:30.084692622Z,811
2025-05-22T08:09:40.71074402Z,810
2025-05-22T08:09:51.492700434Z,806
2025-05-22T08:10:02.117602249Z,812
2025-05-22T08:10:12.744560221Z,815
2025-05-22T08:10:23.521051695Z,819
2025-05-22T08:10:34.149007539Z,836
2025-05-22T08:10:44.783621183Z,840
2025-05-22T08:10:55.561279831Z,831
2025-05-22T08:11:06.186940315Z,828
2025-05-22T08:11:16.815256557Z,812
2025-05-22T08:11:27.593929114Z,1160
2025-05-22T08:11:38.221344363Z,1038
2025-05-22T08:11:48.848433819Z,925
2025-05-22T08:11:59.633924939Z,927
2025-05-22T08:12:10.259015968Z,934
2025-05-22T08:12:20.886684553Z,955
2025-05-22T08:12:31.661240194Z,958
2025-05-22T08:12:42.288077247Z,940
2025-05-22T08:12:52.913528113Z,988
2025-05-22T08:13:03.689065654Z,977
2025-05-22T08:13:14.313948006Z,954
2025-05-22T08:13:24.938714121Z,927
2025-05-22T08:13:35.713194134Z,972
2025-05-22T08:13:46.338602446Z,983
2025-05-22T08:13:56.963764125Z,969
2025-05-22T08:14:07.74077654Z,985
2025-05-22T08:14:18.366417715Z,986
2025-05-22T08:14:28.993010869Z,991
2025-05-22T08:14:39.769106967Z,961
2025-05-22T08:14:50.403186661Z,966
2025-05-22T08:15:01.02233544Z,986
2025-05-22T08:15:11.798377629Z,994
2025-05-22T08:15:22.424754256Z,1004
2025-05-22T08:15:33.051319113Z,994
2025-05-22T08:15:43.83017379Z,984
2025-05-22T08:15:54.456128677Z,982
2025-05-22T08:16:05.081195478Z,974
2025-05-22T08:16:15.857260433Z,968
2025-05-22T08:16:26.481150796Z,962
2025-05-22T08:16:37.107865683Z,971
2025-05-22T08:16:47.884887331Z,961
2025-05-22T08:16:58.510139206Z,970
2025-05-22T08:17:09.140650106Z,958
2025-05-22T08:17:19.91751176Z,944
2025-05-22T08:17:30.545026748Z,935
2025-05-22T08:17:41.170366453Z,915
2025-05-22T08:17:51.94481171Z,921
2025-05-22T08:18:02.570374723Z,918
2025-05-22T08:18:13.198411647Z,906
2025-05-22T08:18:23.973275283Z,898
2025-05-22T08:18:34.599459119Z,898
2025-05-22T08:18:45.227497495Z,904
2025-05-22T08:18:56.005719942Z,931
2025-05-22T08:19:06.63020471Z,920
2025-05-22T08:19:17.257318092Z,915
2025-05-22T08:19:28.036988893Z,898
2025-05-22T08:19:38.664349644Z,886
2025-05-22T08:19:49.295251982Z,883
2025-05-22T08:20:00.073283536Z,877
2025-05-22T08:20:10.702006049Z,879
2025-05-22T08:20:21.330055304Z,867
2025-05-22T08:20:32.109324934Z,865
2025-05-22T08:20:42.73579185Z,864
2025-05-22T08:20:53.363021225Z,859
2025-05-22T08:21:04.167366704Z,857
2025-05-22T08:21:14.794160741Z,855
2025-05-22T08:21:25.420006583Z,873
2025-05-22T08:21:36.201819413Z,868
2025-05-22T08:21:46.828541502Z,861
2025-05-22T08:21:57.454199571Z,869
2025-05-22T08:22:08.232594973Z,861
2025-05-22T08:22:18.858248108Z,871
2025-05-22T08:22:29.485121346Z,874
2025-05-22T08:22:40.261184767Z,863
2025-05-22T08:22:50.887453218Z,860
2025-05-22T08:23:01.51458994Z,865
2025-05-22T08:23:12.289648384Z,869
2025-05-22T08:23:22.916068089Z,866
2025-05-22T08:23:33.542083009Z,866
2025-05-22T08:23:44.320427941Z,863
2025-05-22T08:23:54.949198694Z,861
2025-05-22T08:24:05.577007663Z,863
2025-05-22T08:24:16.354381759Z,862
2025-05-22T08:24:26.98137619Z,870
2025-05-22T08:24:37.60770603Z,868
2025-05-22T08:24:48.385068652Z,857
2025-05-22T08:24:59.010950006Z,854
2025-05-22T08:25:09.637588387Z,854
2025-05-22T08:25:20.417024811Z,854
2025-05-22T08:25:31.045133595Z,853
2025-05-22T08:25:41.703092651Z,856
2025-05-22T08:25:52.453794093Z,853
2025-05-22T08:26:03.080126337Z,850
2025-05-22T08:26:13.710085001Z,845
2025-05-22T08:26:24.489878621Z,848
2025-05-22T08:26:35.116673467Z,854
2025-05-22T08:26:45.742584463Z,861
2025-05-22T08:26:56.520996742Z,861
2025-05-22T08:27:07.148302559Z,865
2025-05-22T08:27:17.775304442Z,854
2025-05-22T08:27:28.553735759Z,862
2025-05-22T08:27:39.180796737Z,861
2025-05-22T08:27:49.80721038Z,858
2025-05-22T08:28:00.584982852Z,857
2025-05-22T08:28:11.211465603Z,857
2025-05-22T08:28:21.83807229Z,852
2025-05-22T08:28:32.620980072Z,850
2025-05-22T08:28:43.247043668Z,856
2025-05-22T08:28:53.876150738Z,859
2025-05-22T08:29:04.653200235Z,854
2025-05-22T08:29:15.280179983Z,855
2025-05-22T08:29:25.908724099Z,846
2025-05-22T08:29:36.688753653Z,852
2025-05-22T08:29:47.317027165Z,852
2025-05-22T08:29:57.943507705Z,855
2025-05-22T08:30:08.721217783Z,860
2025-05-22T08:30:19.348672139Z,860
2025-05-22T08:30:29.974182313Z,857
2025-05-22T08:30:40.770817028Z,860
2025-05-22T08:30:51.396325629Z,854
2025-05-22T08:31:02.022938632Z,858
2025-05-22T08:31:12.803425756Z,853
2025-05-22T08:31:23.429815667Z,862
2025-05-22T08:31:34.055940375Z,853
2025-05-22T08:31:44.833751891Z,850
2025-05-22T08:31:55.458816303Z,854
2025-05-22T08:32:06.088343482Z,854
2025-05-22T08:32:16.86592643Z,851
2025-05-22T08:32:27.493958105Z,861
2025-05-22T08:32:38.122673862Z,860
2025-05-22T08:32:48.901327353Z,860
2025-05-22T08:32:59.528320555Z,867
2025-05-22T08:33:10.155092952Z,871
2025-05-22T08:33:20.932989058Z,863
2025-05-22T08:33:31.560675934Z,867
2025-05-22T08:33:42.188692514Z,865
2025-05-22T08:33:52.965244922Z,851
2025-05-22T08:34:03.592044821Z,855
2025-05-22T08:34:14.220477366Z,852
2025-05-22T08:34:24.997293045Z,858
2025-05-22T08:34:35.621875935Z,858
2025-05-22T08:34:46.248132268Z,862
2025-05-22T08:34:57.024713257Z,864
2025-05-22T08:35:07.651699085Z,867
2025-05-22T08:35:18.280107397Z,862
2025-05-22T08:35:29.057484491Z,865
2025-05-22T08:35:39.684485757Z,874
2025-05-22T08:35:50.312126029Z,866
2025-05-22T08:36:01.088601942Z,862
2025-05-22T08:36:11.721585898Z,850
2025-05-22T08:36:22.342607836Z,854
2025-05-22T08:36:33.124671111Z,852
2025-05-22T08:36:43.750009944Z,851
2025-05-22T08:36:54.377005033Z,852
2025-05-22T08:37:05.157752038Z,847
2025-05-22T08:37:15.783413464Z,850
2025-05-22T08:37:26.41009281Z,842
2025-05-22T08:37:37.189083142Z,856
2025-05-22T08:37:47.815655851Z,850
2025-05-22T08:37:58.444217828Z,851
2025-05-22T08:38:09.224892291Z,843
2025-05-22T08:38:19.851477286Z,846
2025-05-22T08:38:30.481455214Z,855
2025-05-22T08:38:41.256703369Z,850
2025-05-22T08:38:51.885358898Z,838
2025-05-22T08:39:02.511788378Z,840
2025-05-22T08:39:13.289309242Z,842
2025-05-22T08:39:23.91602145Z,832
2025-05-22T08:39:34.544425821Z,832
2025-05-22T08:39:45.32186457Z,837
2025-05-22T08:39:55.949061861Z,834
2025-05-22T08:40:06.576687306Z,842
2025-05-22T08:40:17.353783811Z,838
2025-05-22T08:40:27.979377294Z,834
2025-05-22T08:40:38.607038693Z,827
2025-05-22T08:40:49.385496711Z,829
2025-05-22T08:41:00.009985286Z,822
2025-05-22T08:41:10.639115861Z,810
2025-05-22T08:41:21.416786557Z,806
2025-05-22T08:41:32.043915332Z,813
2025-05-22T08:41:42.670918137Z,809
2025-05-22T08:41:53.448638073Z,806
2025-05-22T08:42:04.075160002Z,807
2025-05-22T08:42:14.702447048Z,814
2025-05-22T08:42:25.48070745Z,817
2025-05-22T08:42:36.10803164Z,816
2025-05-22T08:42:46.735378958Z,818
2025-05-22T08:42:57.513325477Z,821
2025-05-22T08:43:08.140497972Z,820
2025-05-22T08:43:18.765503699Z,816
2025-05-22T08:43:29.544899635Z,812
2025-05-22T08:43:40.171784496Z,812
2025-05-22T08:43:50.797149645Z,812
2025-05-22T08:44:01.572984428Z,820
2025-05-22T08:44:12.200640286Z,808
2025-05-22T08:44:22.828676135Z,807
2025-05-22T08:44:33.60568949Z,813
2025-05-22T08:44:44.232808856Z,813
2025-05-22T08:44:54.860818957Z,809
2025-05-22T08:45:05.637948883Z,812
2025-05-22T08:45:16.265257912Z,818
2025-05-22T08:45:26.891880588Z,814
2025-05-22T08:45:37.669390106Z,817
2025-05-22T08:45:48.295039033Z,813
2025-05-22T08:45:58.922382002Z,810
2025-05-22T08:46:09.70106002Z,809
2025-05-22T08:46:20.328418889Z,810
