time,value
2025-05-22T08:04:20.265272817Z,327
2025-05-22T08:04:31.041282726Z,316
2025-05-22T08:04:41.674333283Z,318
2025-05-22T08:04:52.293726279Z,362
2025-05-22T08:05:03.07383192Z,369
2025-05-22T08:05:13.698245627Z,373
2025-05-22T08:05:24.325541287Z,372
2025-05-22T08:05:35.101123589Z,361
2025-05-22T08:05:45.727567002Z,343
2025-05-22T08:05:56.355968096Z,342
2025-05-22T08:06:07.247343372Z,329
2025-05-22T08:06:17.87512346Z,312
2025-05-22T08:06:28.502763588Z,312
2025-05-22T08:06:39.280918178Z,280
2025-05-22T08:06:49.907634857Z,297
2025-05-22T08:07:00.535123965Z,294
2025-05-22T08:07:11.313322972Z,293
2025-05-22T08:07:21.941160116Z,292
2025-05-22T08:07:32.566931476Z,287
2025-05-22T08:07:43.350820004Z,301
2025-05-22T08:07:53.975740002Z,310
2025-05-22T08:08:04.610058906Z,311
2025-05-22T08:08:15.389392601Z,340
2025-05-22T08:08:26.014856393Z,314
2025-05-22T08:08:36.642388492Z,302
2025-05-22T08:08:47.420967935Z,327
2025-05-22T08:08:58.048499262Z,326
2025-05-22T08:09:08.677172164Z,313
2025-05-22T08:09:19.457015223Z,299
2025-05-22T08:09:30.084692622Z,328
2025-05-22T08:09:40.71074402Z,325
2025-05-22T08:09:51.492700434Z,314
2025-05-22T08:10:02.117602249Z,333
2025-05-22T08:10:12.744560221Z,341
2025-05-22T08:10:23.521051695Z,353
2025-05-22T08:10:34.149007539Z,403
2025-05-22T08:10:44.783621183Z,417
2025-05-22T08:10:55.561279831Z,388
2025-05-22T08:11:06.186940315Z,381
2025-05-22T08:11:16.815256557Z,331
2025-05-22T08:11:27.593929114Z,1713
2025-05-22T08:11:38.221344363Z,1150
2025-05-22T08:11:48.848433819Z,704
2025-05-22T08:11:59.633924939Z,709
2025-05-22T08:12:10.259015968Z,738
2025-05-22T08:12:20.886684553Z,816
2025-05-22T08:12:31.661240194Z,826
2025-05-22T08:12:42.288077247Z,759
2025-05-22T08:12:52.913528113Z,946
2025-05-22T08:13:03.689065654Z,902
2025-05-22T08:13:14.313948006Z,813
2025-05-22T08:13:24.938714121Z,712
2025-05-22T08:13:35.713194134Z,879
2025-05-22T08:13:46.338602446Z,925
2025-05-22T08:13:56.963764125Z,870
2025-05-22T08:14:07.74077654Z,932
2025-05-22T08:14:18.366417715Z,936
2025-05-22T08:14:28.993010869Z,957
2025-05-22T08:14:39.769106967Z,839
2025-05-22T08:14:50.403186661Z,859
2025-05-22T08:15:01.02233544Z,938
2025-05-22T08:15:11.798377629Z,967
2025-05-22T08:15:22.424754256Z,1010
2025-05-22T08:15:33.051319113Z,967
2025-05-22T08:15:43.83017379Z,929
2025-05-22T08:15:54.456128677Z,921
2025-05-22T08:16:05.081195478Z,890
2025-05-22T08:16:15.857260433Z,866
2025-05-22T08:16:26.481150796Z,841
2025-05-22T08:16:37.107865683Z,876
2025-05-22T08:16:47.884887331Z,837
2025-05-22T08:16:58.510139206Z,874
2025-05-22T08:17:09.140650106Z,825
2025-05-22T08:17:19.91751176Z,773
2025-05-22T08:17:30.545026748Z,740
2025-05-22T08:17:41.170366453Z,668
2025-05-22T08:17:51.94481171Z,690
2025-05-22T08:18:02.570374723Z,678
2025-05-22T08:18:13.198411647Z,634
2025-05-22T08:18:23.973275283Z,607
2025-05-22T08:18:34.599459119Z,609
2025-05-22T08:18:45.227497495Z,629
2025-05-22T08:18:56.005719942Z,724
2025-05-22T08:19:06.63020471Z,687
2025-05-22T08:19:17.257318092Z,668
2025-05-22T08:19:28.036988893Z,608
2025-05-22T08:19:38.664349644Z,566
2025-05-22T08:19:49.295251982Z,558
2025-05-22T08:20:00.073283536Z,538
2025-05-22T08:20:10.702006049Z,544
2025-05-22T08:20:21.330055304Z,502
2025-05-22T08:20:32.109324934Z,495
2025-05-22T08:20:42.73579185Z,493
2025-05-22T08:20:53.363021225Z,475
2025-05-22T08:21:04.167366704Z,469
2025-05-22T08:21:14.794160741Z,465
2025-05-22T08:21:25.420006583Z,524
2025-05-22T08:21:36.201819413Z,505
2025-05-22T08:21:46.828541502Z,484
2025-05-22T08:21:57.454199571Z,508
2025-05-22T08:22:08.232594973Z,482
2025-05-22T08:22:18.858248108Z,516
2025-05-22T08:22:29.485121346Z,526
2025-05-22T08:22:40.261184767Z,489
2025-05-22T08:22:50.887453218Z,481
2025-05-22T08:23:01.51458994Z,498
2025-05-22T08:23:12.289648384Z,508
2025-05-22T08:23:22.916068089Z,500
2025-05-22T08:23:33.542083009Z,500
2025-05-22T08:23:44.320427941Z,489
2025-05-22T08:23:54.949198694Z,483
2025-05-22T08:24:05.577007663Z,489
2025-05-22T08:24:16.354381759Z,487
2025-05-22T08:24:26.98137619Z,512
2025-05-22T08:24:37.60770603Z,506
2025-05-22T08:24:48.385068652Z,469
2025-05-22T08:24:59.010950006Z,459
2025-05-22T08:25:09.637588387Z,461
2025-05-22T08:25:20.417024811Z,459
2025-05-22T08:25:31.045133595Z,459
2025-05-22T08:25:41.703092651Z,466
2025-05-22T08:25:52.453794093Z,458
2025-05-22T08:26:03.080126337Z,446
2025-05-22T08:26:13.710085001Z,431
2025-05-22T08:26:24.489878621Z,440
2025-05-22T08:26:35.116673467Z,460
2025-05-22T08:26:45.742584463Z,482
2025-05-22T08:26:56.520996742Z,483
2025-05-22T08:27:07.148302559Z,496
2025-05-22T08:27:17.775304442Z,460
2025-05-22T08:27:28.553735759Z,486
2025-05-22T08:27:39.180796737Z,484
2025-05-22T08:27:49.80721038Z,475
2025-05-22T08:28:00.584982852Z,472
2025-05-22T08:28:11.211465603Z,469
2025-05-22T08:28:21.83807229Z,454
2025-05-22T08:28:32.620980072Z,449
2025-05-22T08:28:43.247043668Z,468
2025-05-22T08:28:53.876150738Z,477
2025-05-22T08:29:04.653200235Z,462
2025-05-22T08:29:15.280179983Z,465
2025-05-22T08:29:25.908724099Z,435
2025-05-22T08:29:36.688753653Z,456
2025-05-22T08:29:47.317027165Z,455
2025-05-22T08:29:57.943507705Z,464
2025-05-22T08:30:08.721217783Z,478
2025-05-22T08:30:19.348672139Z,478
2025-05-22T08:30:29.974182313Z,471
2025-05-22T08:30:40.770817028Z,480
2025-05-22T08:30:51.396325629Z,459
2025-05-22T08:31:02.022938632Z,475
2025-05-22T08:31:12.803425756Z,457
2025-05-22T08:31:23.429815667Z,486
2025-05-22T08:31:34.055940375Z,457
2025-05-22T08:31:44.833751891Z,446
2025-05-22T08:31:55.458816303Z,460
2025-05-22T08:32:06.088343482Z,460
2025-05-22T08:32:16.86592643Z,452
2025-05-22T08:32:27.493958105Z,482
2025-05-22T08:32:38.122673862Z,478
2025-05-22T08:32:48.901327353Z,481
2025-05-22T08:32:59.528320555Z,502
2025-05-22T08:33:10.155092952Z,515
2025-05-22T08:33:20.932989058Z,491
2025-05-22T08:33:31.560675934Z,503
2025-05-22T08:33:42.188692514Z,496
2025-05-22T08:33:52.965244922Z,451
2025-05-22T08:34:03.592044821Z,463
2025-05-22T08:34:14.220477366Z,454
2025-05-22T08:34:24.997293045Z,475
2025-05-22T08:34:35.621875935Z,475
2025-05-22T08:34:46.248132268Z,488
2025-05-22T08:34:57.024713257Z,494
2025-05-22T08:35:07.651699085Z,503
2025-05-22T08:35:18.280107397Z,486
2025-05-22T08:35:29.057484491Z,498
2025-05-22T08:35:39.684485757Z,527
2025-05-22T08:35:50.312126029Z,500
2025-05-22T08:36:01.088601942Z,485
2025-05-22T08:36:11.721585898Z,446
2025-05-22T08:36:22.342607836Z,459
2025-05-22T08:36:33.124671111Z,454
2025-05-22T08:36:43.750009944Z,450
2025-05-22T08:36:54.377005033Z,453
2025-05-22T08:37:05.157752038Z,437
2025-05-22T08:37:15.783413464Z,448
2025-05-22T08:37:26.41009281Z,424
2025-05-22T08:37:37.189083142Z,467
2025-05-22T08:37:47.815655851Z,449
2025-05-22T08:37:58.444217828Z,452
2025-05-22T08:38:09.224892291Z,426
2025-05-22T08:38:19.851477286Z,435
2025-05-22T08:38:30.481455214Z,465
2025-05-22T08:38:41.256703369Z,448
2025-05-22T08:38:51.885358898Z,409
2025-05-22T08:39:02.511788378Z,418
2025-05-22T08:39:13.289309242Z,422
2025-05-22T08:39:23.91602145Z,390
2025-05-22T08:39:34.544425821Z,393
2025-05-22T08:39:45.32186457Z,407
2025-05-22T08:39:55.949061861Z,397
2025-05-22T08:40:06.576687306Z,422
2025-05-22T08:40:17.353783811Z,410
2025-05-22T08:40:27.979377294Z,397
2025-05-22T08:40:38.607038693Z,375
2025-05-22T08:40:49.385496711Z,382
2025-05-22T08:41:00.009985286Z,362
2025-05-22T08:41:10.639115861Z,327
2025-05-22T08:41:21.416786557Z,315
2025-05-22T08:41:32.043915332Z,334
2025-05-22T08:41:42.670918137Z,324
2025-05-22T08:41:53.448638073Z,313
2025-05-22T08:42:04.075160002Z,318
2025-05-22T08:42:14.702447048Z,337
2025-05-22T08:42:25.48070745Z,346
2025-05-22T08:42:36.10803164Z,344
2025-05-22T08:42:46.735378958Z,350
2025-05-22T08:42:57.513325477Z,359
2025-05-22T08:43:08.140497972Z,355
2025-05-22T08:43:18.765503699Z,344
2025-05-22T08:43:29.544899635Z,333
2025-05-22T08:43:40.171784496Z,332
2025-05-22T08:43:50.797149645Z,331
2025-05-22T08:44:01.572984428Z,354
2025-05-22T08:44:12.200640286Z,319
2025-05-22T08:44:22.828676135Z,316
2025-05-22T08:44:33.60568949Z,335
2025-05-22T08:44:44.232808856Z,336
2025-05-22T08:44:54.860818957Z,324
2025-05-22T08:45:05.637948883Z,331
2025-05-22T08:45:16.265257912Z,348
2025-05-22T08:45:26.891880588Z,338
2025-05-22T08:45:37.669390106Z,346
2025-05-22T08:45:48.295039033Z,334
2025-05-22T08:45:58.922382002Z,326
2025-05-22T08:46:09.70106002Z,323
2025-05-22T08:46:20.328418889Z,326
2025-05-22T08:46:30.955966246Z,324
2025-05-22T08:46:41.739698378Z,348
2025-05-22T08:46:52.359153618Z,319
2025-05-22T08:47:02.986102643Z,320
2025-05-22T08:47:13.764917804Z,316
2025-05-22T08:47:24.395040594Z,323
2025-05-22T08:47:35.022190179Z,314
2025-05-22T08:47:45.798640562Z,322
2025-05-22T08:47:56.425838463Z,333
2025-05-22T08:48:07.052317204Z,344
2025-05-22T08:48:17.829657249Z,331
2025-05-22T08:48:28.453795321Z,331
2025-05-22T08:48:39.081207338Z,352
2025-05-22T08:48:49.856722299Z,342
2025-05-22T08:49:00.482221582Z,373
2025-05-22T08:49:11.110457254Z,356
2025-05-22T08:49:21.889662251Z,359
2025-05-22T08:49:32.517151394Z,348
2025-05-22T08:49:43.143828286Z,335
2025-05-22T08:49:53.921098839Z,331
2025-05-22T08:50:04.549839795Z,348
2025-05-22T08:50:15.179030609Z,358
2025-05-22T08:50:25.957006275Z,355
2025-05-22T08:50:36.584021613Z,357
2025-05-22T08:50:47.210140017Z,345
2025-05-22T08:50:57.989751124Z,343
2025-05-22T08:51:08.617770052Z,337
